experiment,step,epoch,token_avg_loss,loss,eval_loss,grad_norm,learning_rate,total_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,10,0.0010366454154356502,3.2968,14.0037,,7.598205089569092,1.8e-05,72194,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,20,0.0020732908308713003,2.4675,10.7019,,4.578925132751465,3.8e-05,74817,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,30,0.0031099362463069507,2.0685,8.091,,2.9319872856140137,5.8e-05,63469,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,40,0.004146581661742601,1.6048,6.1851,,1.9611071348190308,7.800000000000001e-05,78269,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,50,0.005183227077178251,1.2563,4.9456,,1.1051414012908936,9.8e-05,60642,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,60,0.0062198724926139015,1.1294,4.3119,,1.1458438634872437,0.000118,73002,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,70,0.007256517908049552,1.0829,4.0224,,2.0976338386535645,0.000138,69577,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,80,0.008293163323485201,0.9478,3.5449,,1.2269999980926514,0.00015800000000000002,62346,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,90,0.009329808738920852,0.9466,3.3865,,0.9476935863494873,0.00017800000000000002,80803,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,100,0.010366454154356502,0.9421,3.2921,,1.571097731590271,0.00019800000000000002,70533,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,110,0.011403099569792153,0.7994,3.0191,,0.8391125202178955,0.00019999995194549538,69869,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,120,0.012439744985227803,0.8119,3.1014,,0.7268391847610474,0.00019999978583121766,76191,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,130,0.013476390400663453,0.8186,2.9216,,0.9109889268875122,0.0001999995010640984,62783,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,140,0.014513035816099104,0.7743,2.8212,,0.7608497738838196,0.00019999909764447553,73272,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,150,0.015549681231534754,0.7378,2.8312,,0.7619828581809998,0.0001999985755728277,69924,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,160,0.016586326646970403,0.715,2.6433,,0.97300124168396,0.00019999793484977435,66760,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,170,0.017622972062406053,0.7624,2.6854,,0.8970531821250916,0.00019999717547607574,75541,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,180,0.018659617477841704,0.7968,2.7005,,1.0275262594223022,0.00019999629745263287,75306,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,190,0.019696262893277354,0.6467,2.5376,,1.0152090787887573,0.00019999530078048755,61589,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,200,0.020732908308713004,0.7328,2.6158,,1.00901198387146,0.00019999418546082237,74725,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,210,0.021769553724148655,0.729,2.5923,,0.9876882433891296,0.00019999295149496064,64719,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,220,0.022806199139584305,0.6494,2.4528,,0.8306147456169128,0.00019999159888436658,73771,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,230,0.023842844555019956,0.7393,2.549,,0.8438383340835571,0.00019999012763064505,74489,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,240,0.024879489970455606,0.5908,2.3879,,0.9675758481025696,0.00019998853773554176,63071,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,250,0.025916135385891256,0.6671,2.4462,,0.74718177318573,0.00019998682920094318,75725,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,250,0.025916135385891256,0.8358,,0.6687129139900208,,,66309,63.5714,78.652,2.47
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,260,0.026952780801326907,0.6663,2.5135,,1.0736438035964966,0.00019998500202887651,68423,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,270,0.027989426216762557,0.5981,2.317,,0.8767987489700317,0.00019998305622150975,65863,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,280,0.029026071632198207,0.674,2.3539,,0.8951513171195984,0.00019998099178115172,78002,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,290,0.030062717047633858,0.5849,2.3343,,1.0061440467834473,0.00019997880871025183,59090,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,300,0.03109936246306951,0.6552,2.3348,,0.8502384424209595,0.00019997650701140046,77804,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,310,0.03213600787850516,0.6989,2.4276,,0.9384231567382812,0.00019997408668732857,68103,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,320,0.033172653293940806,0.5614,2.2103,,0.9951086640357971,0.00019997154774090804,64656,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,330,0.03420929870937646,0.6702,2.2929,,0.9693378210067749,0.00019996889017515133,77019,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,340,0.035245944124812106,0.6375,2.3792,,0.7821496725082397,0.00019996611399321178,58529,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,350,0.03628258954024776,0.6132,2.1634,,0.8746756315231323,0.00019996321919838334,74608,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,360,0.03731923495568341,0.6782,2.3439,,0.8419066071510315,0.00019996020579410084,78408,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,370,0.03835588037111906,0.5353,2.1935,,0.9604744911193848,0.0001999570737839398,62544,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,380,0.03939252578655471,0.6343,2.2549,,0.8120729923248291,0.00019995382317161635,76872,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,390,0.04042917120199036,0.6512,2.251,,0.8403823971748352,0.00019995045396098754,63766,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,400,0.04146581661742601,0.5558,2.1639,,0.7751495838165283,0.000199946966156051,67233,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,410,0.04250246203286166,0.6324,2.2611,,0.8064130544662476,0.00019994335976094508,72594,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,420,0.04353910744829731,0.6393,2.1521,,0.8495028614997864,0.00019993963477994898,64792,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,430,0.04457575286373296,0.5754,2.1776,,0.7848242521286011,0.00019993579121748242,74625,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,440,0.04561239827916861,0.6721,2.1916,,0.7729842066764832,0.0001999318290781059,80700,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,450,0.04664904369460426,0.541,2.1087,,0.8105106353759766,0.00019992774836652066,65227,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,460,0.04768568911003991,0.6374,2.1219,,0.7091825604438782,0.00019992354908756862,76435,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,470,0.04872233452547556,0.6142,2.1816,,0.7764213681221008,0.00019991923124623227,65943,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,480,0.04975897994091121,0.5312,2.0824,,0.8285860419273376,0.00019991479484763493,68451,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,490,0.05079562535634686,0.6421,2.1535,,0.7432283163070679,0.0001999102398970405,75034,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,500,0.05183227077178251,0.5131,2.0326,,0.883019745349884,0.00019990556639985362,62412,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,500,0.05183227077178251,0.7129,,0.5771343111991882,,,64167,52.0375,96.085,3.017
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,510,0.05286891618721816,0.576,2.1206,,0.8502086997032166,0.00019990077436161943,74341,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,520,0.05390556160265381,0.6138,2.1258,,0.8382449150085449,0.0001998958637880239,69282,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,530,0.05494220701808946,0.4966,2.0091,,0.7720311284065247,0.0001998908346848936,67963,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,540,0.055978852433525114,0.6005,2.0443,,0.7121484279632568,0.00019988568705819567,75810,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,550,0.05701549784896076,0.5518,2.0849,,0.9054607152938843,0.00019988042091403796,64144,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,560,0.058052143264396415,0.5654,1.995,,0.7304033637046814,0.0001998750362586689,76009,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,570,0.05908878867983206,0.6498,2.0956,,0.7534503936767578,0.00019986953309847753,73032,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,580,0.060125434095267716,0.4793,2.0098,,0.990382969379425,0.00019986391143999354,63774,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,590,0.06116207951070336,0.6009,2.0708,,0.6658580303192139,0.00019985817128988722,74257,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,600,0.06219872492613902,0.5874,2.1685,,1.1560192108154297,0.0001998523126549694,70867,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,610,0.06323537034157467,0.558,1.9597,,0.983272910118103,0.00019984633554219158,68248,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,620,0.06427201575701032,0.6117,2.1216,,0.7362613677978516,0.00019984023995864574,73059,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,630,0.06530866117244596,0.5446,2.0127,,0.8124113082885742,0.00019983402591156448,61408,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,640,0.06634530658788161,0.5969,1.9354,,0.729324996471405,0.00019982769340832102,80420,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,650,0.06738195200331727,0.5516,2.0989,,0.7392311096191406,0.00019982124245642897,63312,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,660,0.06841859741875292,0.5028,1.9254,,0.7492659091949463,0.00019981467306354268,68873,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,670,0.06945524283418857,0.612,2.0744,,0.727456271648407,0.0001998079852374569,78413,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,680,0.07049188824962421,0.5426,2.0233,,0.7283622622489929,0.00019980117898610693,65728,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,690,0.07152853366505986,0.5317,1.8661,,0.7862714529037476,0.0001997942543175686,74518,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,700,0.07256517908049552,0.542,2.0843,,0.6945693492889404,0.00019978721124005829,69824,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,710,0.07360182449593117,0.4946,1.9261,,0.8253354430198669,0.00019978004976193276,62654,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,720,0.07463846991136681,0.581,1.9868,,0.6637102365493774,0.00019977276989168935,77333,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,730,0.07567511532680246,0.5186,2.0403,,0.7598875164985657,0.0001997653716379659,64629,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,740,0.07671176074223812,0.4659,1.8606,,0.8395771980285645,0.0001997578550095406,66831,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,750,0.07774840615767377,0.6103,1.9454,,0.7267850637435913,0.0001997502200153322,78830,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,750,0.07774840615767377,0.7003,,0.5320937037467957,,,64660,51.7495,96.619,3.034
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,760,0.07878505157310942,0.4464,1.9302,,0.9570785164833069,0.00019974246666439984,61889,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,770,0.07982169698854506,0.6174,1.8791,,0.7742958664894104,0.00019973459496594313,82867,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,780,0.08085834240398072,0.5435,2.0179,,0.6910203099250793,0.00019972660492930208,63349,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,790,0.08189498781941637,0.4807,1.8071,,0.8335652947425842,0.0001997184965639571,70726,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,800,0.08293163323485202,0.6281,1.9822,,0.7023150324821472,0.000199710269879529,78975,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,810,0.08396827865028766,0.568,1.9376,,0.7006340622901917,0.00019970192488577904,64325,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,820,0.08500492406572333,0.5507,1.8592,,0.7141260504722595,0.00019969346159260875,74899,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,830,0.08604156948115897,0.5265,2.0219,,0.7155256271362305,0.00019968488001006018,69135,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,840,0.08707821489659462,0.475,1.8624,,0.9267891645431519,0.0001996761801483156,65757,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,850,0.08811486031203027,0.5808,1.8863,,0.7530514001846313,0.00019966736201769764,80053,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,860,0.08915150572746593,0.5466,2.0027,,0.6936579942703247,0.00019965842562866932,64746,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,870,0.09018815114290157,0.4981,1.8239,,0.865389347076416,0.0001996493709918339,67781,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,880,0.09122479655833722,0.5309,1.9505,,0.6569825410842896,0.00019964019811793504,74780,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,890,0.09226144197377287,0.5515,1.9227,,0.9475608468055725,0.0001996309070178566,65613,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,900,0.09329808738920851,0.501,1.8612,,0.6945027112960815,0.00019962149770262277,76748,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,910,0.09433473280464418,0.4725,2.0147,,0.7207450270652771,0.000199611970183398,67158,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,920,0.09537137822007982,0.5113,1.8011,,0.7303964495658875,0.00019960232447148698,65668,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,930,0.09640802363551547,0.5743,1.9352,,0.7189365029335022,0.00019959256057833468,75408,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,940,0.09744466905095112,0.564,1.9573,,1.0661983489990234,0.0001995826785155262,69738,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,950,0.09848131446638678,0.509,1.8217,,0.8795206546783447,0.00019957267829478695,70933,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,960,0.09951795988182242,0.495,1.9686,,0.5997219085693359,0.0001995625599279825,69406,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,970,0.10055460529725807,0.5023,1.7828,,0.7824118733406067,0.00019955232342711856,65195,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,980,0.10159125071269372,0.5242,1.86,,0.7362295985221863,0.00019954196880434113,73206,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,990,0.10262789612812938,0.5243,1.9206,,0.6840612292289734,0.00019953149607193624,69762,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1000,0.10366454154356503,0.5371,1.7712,,0.7092055082321167,0.00019952090524233014,68923,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1000,0.10366454154356503,0.6482,,0.4988367557525635,,,64406,51.8005,96.524,3.031
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1010,0.10470118695900067,0.4901,1.915,,0.6061840653419495,0.00019951019632808917,70080,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1020,0.10573783237443632,0.6172,1.8719,,0.7199432849884033,0.00019949936934191977,68616,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1030,0.10677447778987198,0.5073,1.7997,,0.6785241365432739,0.0001994884242966685,71547,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1040,0.10781112320530763,0.5374,1.9253,,0.6107747554779053,0.00019947736120532201,71698,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1050,0.10884776862074327,0.5537,1.8137,,1.0984818935394287,0.000199466180081007,67610,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1060,0.10988441403617892,0.5532,1.9318,,0.7486489415168762,0.0001994548809369902,75053,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1070,0.11092105945161458,0.5995,1.8903,,0.7648125886917114,0.0001994434637866784,67948,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1080,0.11195770486705023,0.5136,1.7595,,0.7651745676994324,0.0001994319286436184,72946,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1090,0.11299435028248588,0.5054,1.9022,,0.5954151749610901,0.00019942027552149704,73388,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1100,0.11403099569792152,0.57,1.8466,,0.7044882774353027,0.00019940850443414106,69124,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1110,0.11506764111335718,0.4479,1.7724,,0.5729681253433228,0.00019939661539551727,72459,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1120,0.11610428652879283,0.5073,1.7996,,0.6768608689308167,0.00019938460841973233,75160,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1130,0.11714093194422848,0.4837,1.761,,0.7756224870681763,0.00019937248352103293,68025,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1140,0.11817757735966412,0.469,1.8572,,0.6606464982032776,0.0001993602407138056,70204,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1150,0.11921422277509977,0.5218,1.8256,,1.217366099357605,0.00019934788001257686,73145,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1160,0.12025086819053543,0.5191,1.739,,0.8416107892990112,0.00019933540143201299,70133,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1170,0.12128751360597108,0.5272,1.9158,,0.5926351547241211,0.0001993228049869203,71833,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1180,0.12232415902140673,0.5528,1.785,,0.7487099766731262,0.00019931009069224477,68666,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1190,0.12336080443684237,0.4975,1.7781,,0.6678456664085388,0.0001992972585630724,75502,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1200,0.12439744985227803,0.5033,1.8282,,0.6739287972450256,0.00019928430861462885,69149,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1210,0.12543409526771368,0.4547,1.6924,,0.8177048563957214,0.0001992712408622796,66863,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1220,0.12647074068314934,0.5365,1.849,,0.6689705848693848,0.00019925805532153005,72031,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1230,0.12750738609858497,0.5636,1.8669,,0.7194206714630127,0.00019924475200802517,73335,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1240,0.12854403151402063,0.4676,1.7667,,0.6434730291366577,0.0001992313309375498,64643,,,
