stage,experiment,type,severity,step,value,description
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,10,3.2968,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,20,2.4675,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,30,2.0685,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,40,1.6048,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,50,1.2563,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,60,1.1294,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,70,1.0829,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,80,0.9478,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,90,0.9466,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,100,0.9421,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,10,7.5982,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,20,4.5789,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,30,2.932,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,40,1.9611,
sft,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,70,2.0976,
sft,sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,10,4.0729,
sft,sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,20,3.7479,
sft,sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,30,3.3791,
sft,sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,40,2.9037,
sft,sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,50,2.7213,
sft,sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,60,2.7255,
sft,sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,70,2.6351,
sft,sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,80,2.5764,
