experiment,approach,task,parent_experiment,status,frozen_mm,focal_loss,classify,total_steps,training_hours,initial_reward,final_reward,best_reward,mean_reward,reward_improvement_pct,final_pg_loss,grad_lora_mean,grad_lora_max,grad_mm_mean,grad_mm_max,format_rate_final,format_rate_best,eval_mean_reward_best,anomaly_count
grpo_proteinlm_mlp_sft_qwen3_8b_it_0310_214259,esm3,proteinlm_bench,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,completed,False,False,False,35,0.2,0.7406,0.6072,0.7598,0.6789,-18.01,0.0162,0.8048,0.8635,0.0,0.0,0.8936,0.9362,0.4681,1
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,esm3,proteinlm_bench,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,completed,False,False,False,125,0.71,0.7278,0.6725,0.774,0.6634,-7.6,0.0099,0.8271,1.0,0.0,0.0,0.9362,0.9574,0.4894,1
grpo_structure_mlp_sft_qwen3_8b_it_0311_101732,esm3,structure_quality,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,incomplete,False,False,False,35,,0.083,0.0802,0.0838,0.0808,-3.37,5.6534,0.0,0.0,1.0,1.0,0.0,0.0,0.296,1
grpo_structure_mlp_sft_qwen3_8b_it_0311_114205,esm3,structure_quality,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,incomplete,False,False,False,150,,0.6336,0.8337,0.9098,0.7896,31.58,-0.0078,0.0001,0.0015,1.0,1.0,0.0,0.0,0.4188,1
grpo_structure_mlp_sft_qwen3_8b_it_0311_142756,esm3,structure_quality,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,incomplete,False,False,False,40,,0.4396,0.4338,0.479,0.4536,-1.32,-0.3671,0.0,0.0,1.0,1.0,0.0,0.0,0.398,1
grpo_structure_mlp_sft_qwen3_8b_it_0311_170604,esm3,structure_quality,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,incomplete,False,False,False,0,,,,,,,,,,,,,,,1
grpo_structure_mlp_sft_qwen3_8b_it_0312_011859,esm3,structure_quality,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,completed,False,False,False,90,2.14,0.5184,0.5333,0.6205,0.5821,2.87,-1.2092,0.0,0.0,0.9889,1.0,0.74,0.76,0.5439,2
grpo_structure_text_sft_qwen3_8b_it_0311_142908,text,structure_quality,sft_text_combined_qwen3_8b_it_0307_190324,completed,False,False,False,90,1.81,0.3206,0.8224,0.9535,0.75,156.52,0.0008,0.986,1.0,0.0,0.0,1.0,1.0,0.8463,2
grpo_structure_text_sft_qwen3_8b_it_0312_032738,text,structure_quality,sft_text_combined_qwen3_8b_it_0307_190324,completed,False,False,False,90,2.12,0.628,0.8444,0.9619,0.8309,34.46,0.0104,0.9508,1.0,0.0,0.0,1.0,1.0,0.8444,2
grpo_structure_mlp_sft_frozen_mm_qwen3_8b_it_0312_101631,esm3,structure_quality,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,completed,True,False,False,90,1.75,0.5559,0.7689,0.9393,0.7758,38.32,0.0001,0.291,1.0,0.0,0.0,1.0,1.0,0.7653,2
grpo_structure_mlp_sft_frozen_mm_focal_qwen3_8b_it_0312_180156,esm3,structure_quality,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,incomplete,True,True,False,5,,0.5347,0.5347,0.5347,0.5347,0.0,-0.6016,1.0,1.0,0.0,0.0,,,,1
grpo_structure_mlp_sft_frozen_mm_focal_qwen3_8b_it_0312_182035,esm3,structure_quality,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,completed,True,True,False,90,1.73,0.5132,0.8244,0.8344,0.7223,60.64,-0.0504,0.9624,1.0,0.0,0.0,1.0,1.0,0.7111,1
grpo_structure_classify_qwen3_8b_it_0312_215435,esm3,structure_quality,sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,completed,False,False,True,90,1.69,0.4111,0.6995,0.7076,0.5961,70.15,-0.3492,0.993,1.0,0.0,0.0,1.0,1.0,0.6811,1
grpo_structure_text_classify_qwen3_8b_it_0313_010828,text,structure_quality,sft_text_combined_qwen3_8b_it_0307_190324,completed,False,False,True,90,2.03,0.5312,0.7215,0.8567,0.7056,35.82,0.0007,1.0,1.0,0.0,0.0,1.0,1.0,0.8076,3
