experiment,type,severity,step,value,threshold,note
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,10,3.2968,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,20,2.4675,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,30,2.0685,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,40,1.6048,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,50,1.2563,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,60,1.1294,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,70,1.0829,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,80,0.9478,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,90,0.9466,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,loss_spike,warning,100,0.9421,0.9191,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,10,7.5982,1.6049,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,20,4.5789,1.6049,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,30,2.932,1.6049,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,40,1.9611,1.6049,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,70,2.0976,1.6049,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,grad_spike,warning,2290,4.6203,1.6049,
sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,10,4.0729,2.5211,
sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,20,3.7479,2.5211,
sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,30,3.3791,2.5211,
sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,40,2.9037,2.5211,
sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,50,2.7213,2.5211,
sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,60,2.7255,2.5211,
sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,70,2.6351,2.5211,
sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,80,2.5764,2.5211,
sft_text_combined_qwen3_8b_it_0307_190324,loss_spike,warning,90,2.5944,2.5211,
sft_text_combined_qwen3_8b_it_0307_190324,grad_spike,warning,10,7.1699,4.305,
sft_text_combined_qwen3_8b_it_0307_190324,grad_spike,warning,20,6.1873,4.305,
sft_text_combined_qwen3_8b_it_0307_190324,grad_spike,warning,8550,4.3428,4.305,
sft_text_combined_qwen3_8b_it_0307_190324,grad_spike,warning,9250,4.7877,4.305,
sft_esm3_mlp_thinking_qwen3_8b_it_0309_115011,loss_spike,warning,10,2.6295,2.0317,
sft_esm3_mlp_thinking_qwen3_8b_it_0309_115011,grad_spike,warning,10,4.9666,3.3246,
grpo_proteinlm_mlp_sft_qwen3_8b_it_0310_214259,frozen_multimodal,info,,,,Multimodal params frozen (expected for some configs)
grpo_proteinlm_mlp_sft_qwen3_8b_it_0311_091513,frozen_multimodal,info,,,,Multimodal params frozen (expected for some configs)
grpo_structure_classify_qwen3_8b_it_0312_215435,frozen_multimodal,info,,,,Multimodal params frozen (expected for some configs)
grpo_structure_mlp_sft_frozen_mm_focal_qwen3_8b_it_0312_180156,frozen_multimodal,info,,,,Multimodal params frozen (expected for some configs)
grpo_structure_mlp_sft_frozen_mm_focal_qwen3_8b_it_0312_182035,frozen_multimodal,info,,,,Multimodal params frozen (expected for some configs)
grpo_structure_mlp_sft_frozen_mm_qwen3_8b_it_0312_101631,frozen_multimodal,info,,,,Multimodal params frozen (expected for some configs)
grpo_structure_mlp_sft_qwen3_8b_it_0311_101732,reward_collapse,critical,,,,
grpo_structure_mlp_sft_qwen3_8b_it_0311_101732,zero_lora_gradients,critical,,,,
grpo_structure_mlp_sft_qwen3_8b_it_0311_142756,zero_lora_gradients,critical,,,,
grpo_structure_mlp_sft_qwen3_8b_it_0312_011859,zero_lora_gradients,critical,,,,
grpo_structure_text_classify_qwen3_8b_it_0313_010828,frozen_multimodal,info,,,,Multimodal params frozen (expected for some configs)
grpo_structure_text_sft_qwen3_8b_it_0311_142908,frozen_multimodal,info,,,,Multimodal params frozen (expected for some configs)
grpo_structure_text_sft_qwen3_8b_it_0312_032738,frozen_multimodal,info,,,,Multimodal params frozen (expected for some configs)
